_id,final_remark,name,scores
121,,Salena Olmos,"[{""score"":0.8007809823509016,""type"":""exam"",""remark"":""fail""},{""score"":44.71135559183793,""type"":""quiz"",""remark"":""pass""},{""score"":65.17342981800904,""type"":""homework"",""remark"":""pass""}]"
122,,Daphne Zheng,"[{""score"":61.47626628718472,""type"":""exam"",""remark"":""pass""},{""score"":21.99638326978255,""type"":""quiz"",""remark"":""fail""},{""score"":88.2119997542672,""type"":""homework"",""remark"":""pass""}]"
123,,Sanda Ryba,"[{""score"":10.62413290291121,""type"":""exam"",""remark"":""fail""},{""score"":3.544356815821981,""type"":""quiz"",""remark"":""fail""},{""score"":57.10297055409504,""type"":""homework"",""remark"":""pass""}]"
124,,Denisha Cast,"[{""score"":2.723204808959712,""type"":""exam"",""remark"":""fail""},{""score"":38.47056093169111,""type"":""quiz"",""remark"":""fail""},{""score"":77.04035583743548,""type"":""homework"",""remark"":""pass""}]"
125,,Marcus Blohm,"[{""score"":64.47719204148157,""type"":""exam"",""remark"":""pass""},{""score"":23.68353886432903,""type"":""quiz"",""remark"":""fail""},{""score"":48.87355812474999,""type"":""homework"",""remark"":""pass""}]"
126,Pass,Quincy Danaher,"[{""score"":40.53136904234401,""type"":""exam"",""remark"":""pass""},{""score"":83.09270171511093,""type"":""quiz"",""remark"":""pass""},{""score"":79.004550587978,""type"":""homework"",""remark"":""pass""}]"
127,Pass,Jessika Dagenais,"[{""score"":96.93459855769822,""type"":""exam"",""remark"":""pass""},{""score"":95.6756371543187,""type"":""quiz"",""remark"":""pass""},{""score"":70.7887302106597,""type"":""homework"",""remark"":""pass""}]"
128,,Alix Sherrill,"[{""score"":43.67436243299881,""type"":""exam"",""remark"":""pass""},{""score"":14.98112420690882,""type"":""quiz"",""remark"":""fail""},{""score"":23.62416821198536,""type"":""homework"",""remark"":""fail""}]"
129,Pass,Tambra Mercure,"[{""score"":62.61423873241083,""type"":""exam"",""remark"":""pass""},{""score"":47.64776674251425,""type"":""quiz"",""remark"":""pass""},{""score"":85.20578508528978,""type"":""homework"",""remark"":""pass""}]"
130,Pass,Dodie Staller,"[{""score"":52.16051124848157,""type"":""exam"",""remark"":""pass""},{""score"":83.51563143820728,""type"":""quiz"",""remark"":""pass""},{""score"":63.88857636557489,""type"":""homework"",""remark"":""pass""}]"
131,,Fletcher Mcconnell,"[{""score"":24.98670635479149,""type"":""exam"",""remark"":""fail""},{""score"":94.90809903126159,""type"":""quiz"",""remark"":""pass""},{""score"":29.37194792367135,""type"":""homework"",""remark"":""fail""}]"
132,,Verdell Sowinski,"[{""score"":20.1442549902647,""type"":""exam"",""remark"":""fail""},{""score"":47.66457425945161,""type"":""quiz"",""remark"":""pass""},{""score"":77.87844292368344,""type"":""homework"",""remark"":""pass""}]"
133,,Gisela Levin,"[{""score"":15.88727528055548,""type"":""exam"",""remark"":""fail""},{""score"":91.49884857295594,""type"":""quiz"",""remark"":""pass""},{""score"":16.56032169309347,""type"":""homework"",""remark"":""fail""}]"
134,,Tressa Schwing,"[{""score"":54.53947018434061,""type"":""exam"",""remark"":""pass""},{""score"":22.26443529294689,""type"":""quiz"",""remark"":""fail""},{""score"":89.29532364756331,""type"":""homework"",""remark"":""pass""}]"
135,,Rosana Vales,"[{""score"":15.73156258820246,""type"":""exam"",""remark"":""fail""},{""score"":33.70281347493842,""type"":""quiz"",""remark"":""fail""},{""score"":62.79875994037851,""type"":""homework"",""remark"":""pass""}]"
136,,Margart Vitello,"[{""score"":99.33685767140612,""type"":""exam"",""remark"":""pass""},{""score"":1.25322762871457,""type"":""quiz"",""remark"":""fail""},{""score"":66.22827571617455,""type"":""homework"",""remark"":""pass""}]"
137,,Tamika Schildgen,"[{""score"":4.433956226109692,""type"":""exam"",""remark"":""fail""},{""score"":65.50313785402548,""type"":""quiz"",""remark"":""pass""},{""score"":89.5950384993947,""type"":""homework"",""remark"":""pass""}]"
138,,Jesusa Rickenbacker,"[{""score"":15.6237624645333,""type"":""exam"",""remark"":""fail""},{""score"":7.856092232737,""type"":""quiz"",""remark"":""fail""},{""score"":92.06889864132863,""type"":""homework"",""remark"":""pass""}]"
139,,Rudolph Domingo,"[{""score"":33.02956040417582,""type"":""exam"",""remark"":""fail""},{""score"":35.99586495205484,""type"":""quiz"",""remark"":""fail""},{""score"":91.06098699300175,""type"":""homework"",""remark"":""pass""}]"
140,,Jonie Raby,"[{""score"":7.307863391324043,""type"":""exam"",""remark"":""fail""},{""score"":21.72514968277675,""type"":""quiz"",""remark"":""fail""},{""score"":73.8284408290604,""type"":""homework"",""remark"":""pass""}]"
141,Pass,Edgar Sarkis,"[{""score"":65.99888014434269,""type"":""exam"",""remark"":""pass""},{""score"":58.75598946266268,""type"":""quiz"",""remark"":""pass""},{""score"":75.06379354463246,""type"":""homework"",""remark"":""pass""}]"
142,,Laureen Salomone,"[{""score"":42.54322973844196,""type"":""exam"",""remark"":""pass""},{""score"":33.03152379449381,""type"":""quiz"",""remark"":""fail""},{""score"":77.52357320933667,""type"":""homework"",""remark"":""pass""}]"
143,,Gwyneth Garling,"[{""score"":44.29553481758053,""type"":""exam"",""remark"":""pass""},{""score"":23.15599504527296,""type"":""quiz"",""remark"":""fail""},{""score"":84.83695219376807,""type"":""homework"",""remark"":""pass""}]"
144,,Kaila Deibler,"[{""score"":20.85988856264308,""type"":""exam"",""remark"":""fail""},{""score"":73.51120532285645,""type"":""quiz"",""remark"":""pass""},{""score"":88.72483530139125,""type"":""homework"",""remark"":""pass""}]"
145,,Tandra Meadows,"[{""score"":19.07796402740767,""type"":""exam"",""remark"":""fail""},{""score"":7.63846325490759,""type"":""quiz"",""remark"":""fail""},{""score"":60.84655775785094,""type"":""homework"",""remark"":""pass""}]"
146,,Gwen Honig,"[{""score"":35.99646382910844,""type"":""exam"",""remark"":""fail""},{""score"":74.46323507534565,""type"":""quiz"",""remark"":""pass""},{""score"":90.95590422002779,""type"":""homework"",""remark"":""pass""}]"
147,,Sadie Jernigan,"[{""score"":6.14281392478545,""type"":""exam"",""remark"":""fail""},{""score"":44.94102013771302,""type"":""quiz"",""remark"":""pass""},{""score"":89.94407975401369,""type"":""homework"",""remark"":""pass""}]"
148,,Carli Belvins,"[{""score"":84.4361816750119,""type"":""exam"",""remark"":""pass""},{""score"":1.702113040528119,""type"":""quiz"",""remark"":""fail""},{""score"":88.48032660881387,""type"":""homework"",""remark"":""pass""}]"
149,,Synthia Labelle,"[{""score"":11.06312649271668,""type"":""exam"",""remark"":""fail""},{""score"":89.27462706564148,""type"":""quiz"",""remark"":""pass""},{""score"":41.1722010153017,""type"":""homework"",""remark"":""pass""}]"
150,,Eugene Magdaleno,"[{""score"":69.64543341032858,""type"":""exam"",""remark"":""pass""},{""score"":17.46202326917462,""type"":""quiz"",""remark"":""fail""},{""score"":39.41502498794787,""type"":""homework"",""remark"":""fail""}]"
151,,Meagan Oakes,"[{""score"":75.02808260234913,""type"":""exam"",""remark"":""pass""},{""score"":35.45524188731927,""type"":""quiz"",""remark"":""fail""},{""score"":75.84754202828454,""type"":""homework"",""remark"":""pass""}]"
152,,Richelle Siemers,"[{""score"":52.0158789874646,""type"":""exam"",""remark"":""pass""},{""score"":19.25549934746802,""type"":""quiz"",""remark"":""fail""},{""score"":68.33217408510437,""type"":""homework"",""remark"":""pass""}]"
153,,Mariette Batdorf,"[{""score"":91.38690728885123,""type"":""exam"",""remark"":""pass""},{""score"":39.98831767858929,""type"":""quiz"",""remark"":""fail""},{""score"":51.59702098442595,""type"":""homework"",""remark"":""pass""}]"
154,,Rachell Aman,"[{""score"":94.50988306850947,""type"":""exam"",""remark"":""pass""},{""score"":5.68414255121964,""type"":""quiz"",""remark"":""fail""},{""score"":64.46720717616572,""type"":""homework"",""remark"":""pass""}]"
155,,Aleida Elsass,"[{""score"":42.89558347656537,""type"":""exam"",""remark"":""pass""},{""score"":94.10647660402866,""type"":""quiz"",""remark"":""pass""},{""score"":30.56402201379193,""type"":""homework"",""remark"":""fail""}]"
156,,Kayce Kenyon,"[{""score"":54.00824880446614,""type"":""exam"",""remark"":""pass""},{""score"":19.20300722190935,""type"":""quiz"",""remark"":""fail""},{""score"":71.57649363606814,""type"":""homework"",""remark"":""pass""}]"
157,,Ernestine Macfarland,"[{""score"":9.666623747888858,""type"":""exam"",""remark"":""fail""},{""score"":98.76040135775126,""type"":""quiz"",""remark"":""pass""},{""score"":51.67453757397309,""type"":""homework"",""remark"":""pass""}]"
158,,Houston Valenti,"[{""score"":68.36209185504055,""type"":""exam"",""remark"":""pass""},{""score"":15.83819664395878,""type"":""quiz"",""remark"":""fail""},{""score"":81.7258704821604,""type"":""homework"",""remark"":""pass""}]"
159,Pass,Terica Brugger,"[{""score"":97.822030541043,""type"":""exam"",""remark"":""pass""},{""score"":91.56280485763772,""type"":""quiz"",""remark"":""pass""},{""score"":62.01976292987356,""type"":""homework"",""remark"":""pass""}]"
160,,Lady Lefevers,"[{""score"":89.14702404133767,""type"":""exam"",""remark"":""pass""},{""score"":11.85715160788611,""type"":""quiz"",""remark"":""fail""},{""score"":87.70817474845785,""type"":""homework"",""remark"":""pass""}]"
161,,Kurtis Jiles,"[{""score"":38.84932631249875,""type"":""exam"",""remark"":""fail""},{""score"":75.6856190089661,""type"":""quiz"",""remark"":""pass""},{""score"":54.8262895255851,""type"":""homework"",""remark"":""pass""}]"
162,,Barbera Lippman,"[{""score"":10.1210778879972,""type"":""exam"",""remark"":""fail""},{""score"":57.39236107118298,""type"":""quiz"",""remark"":""pass""},{""score"":56.36039761834183,""type"":""homework"",""remark"":""pass""}]"
163,,Dinah Sauve,"[{""score"":9.660849614328693,""type"":""exam"",""remark"":""fail""},{""score"":0.710026283123355,""type"":""quiz"",""remark"":""fail""},{""score"":64.85706587155985,""type"":""homework"",""remark"":""pass""}]"
164,,Alica Pasley,"[{""score"":41.3852820348269,""type"":""exam"",""remark"":""pass""},{""score"":87.0183839032626,""type"":""quiz"",""remark"":""pass""},{""score"":37.22917544696978,""type"":""homework"",""remark"":""fail""}]"
165,,Elizabet Kleine,"[{""score"":23.35599596646158,""type"":""exam"",""remark"":""fail""},{""score"":45.42989961046475,""type"":""quiz"",""remark"":""pass""},{""score"":59.29421526983006,""type"":""homework"",""remark"":""pass""}]"
166,Pass,Tawana Oberg,"[{""score"":79.24755285478162,""type"":""exam"",""remark"":""pass""},{""score"":97.28127199858804,""type"":""quiz"",""remark"":""pass""},{""score"":67.0528222080174,""type"":""homework"",""remark"":""pass""}]"
167,Pass,Malisa Jeanes,"[{""score"":40.68676040665008,""type"":""exam"",""remark"":""pass""},{""score"":52.60826688242043,""type"":""quiz"",""remark"":""pass""},{""score"":94.67979508129564,""type"":""homework"",""remark"":""pass""}]"
168,,Joel Rueter,"[{""score"":21.78981361637835,""type"":""exam"",""remark"":""fail""},{""score"":1.182228345865832,""type"":""quiz"",""remark"":""fail""},{""score"":43.70843975739338,""type"":""homework"",""remark"":""pass""}]"
169,Pass,Tresa Sinha,"[{""score"":52.22632020277269,""type"":""exam"",""remark"":""pass""},{""score"":65.68701091428014,""type"":""quiz"",""remark"":""pass""},{""score"":86.80410157346574,""type"":""homework"",""remark"":""pass""}]"
170,,Danika Loeffler,"[{""score"":80.13802901122058,""type"":""exam"",""remark"":""pass""},{""score"":9.613195588726075,""type"":""quiz"",""remark"":""fail""},{""score"":88.1580114788293,""type"":""homework"",""remark"":""pass""}]"
171,,Chad Rahe,"[{""score"":81.24054522370292,""type"":""exam"",""remark"":""pass""},{""score"":17.44929152365297,""type"":""quiz"",""remark"":""fail""},{""score"":82.77870021356301,""type"":""homework"",""remark"":""pass""}]"
172,,Joaquina Arbuckle,"[{""score"":35.43562368815135,""type"":""exam"",""remark"":""fail""},{""score"":89.74640983145014,""type"":""quiz"",""remark"":""pass""},{""score"":99.13868686848834,""type"":""homework"",""remark"":""pass""}]"
173,,Vinnie Auerbach,"[{""score"":57.26312067710243,""type"":""exam"",""remark"":""pass""},{""score"":20.63583040849144,""type"":""quiz"",""remark"":""fail""},{""score"":77.02638482252677,""type"":""homework"",""remark"":""pass""}]"
174,Pass,Dusti Lemmond,"[{""score"":91.51968055194875,""type"":""exam"",""remark"":""pass""},{""score"":50.37682668957234,""type"":""quiz"",""remark"":""pass""},{""score"":51.53939113583016,""type"":""homework"",""remark"":""pass""}]"
175,,Grady Zemke,"[{""score"":10.37320113489379,""type"":""exam"",""remark"":""fail""},{""score"":10.51344428386458,""type"":""quiz"",""remark"":""fail""},{""score"":85.47180043794621,""type"":""homework"",""remark"":""pass""}]"
176,,Vina Matsunaga,"[{""score"":73.30054989074031,""type"":""exam"",""remark"":""pass""},{""score"":4.21754550016783,""type"":""quiz"",""remark"":""fail""},{""score"":56.31150858550771,""type"":""homework"",""remark"":""pass""}]"
177,,Rubie Winton,"[{""score"":36.1767454709986,""type"":""exam"",""remark"":""fail""},{""score"":89.39738121365069,""type"":""quiz"",""remark"":""pass""},{""score"":90.83326208217305,""type"":""homework"",""remark"":""pass""}]"
178,,Whitley Fears,"[{""score"":20.84454374176408,""type"":""exam"",""remark"":""fail""},{""score"":57.14851257871499,""type"":""quiz"",""remark"":""pass""},{""score"":99.77237745070993,""type"":""homework"",""remark"":""pass""}]"
179,,Gena Riccio,"[{""score"":81.49070346172086,""type"":""exam"",""remark"":""pass""},{""score"":23.12653402998139,""type"":""quiz"",""remark"":""fail""},{""score"":96.54590960898932,""type"":""homework"",""remark"":""pass""}]"
180,,Kim Xu,"[{""score"":29.1596029917098,""type"":""exam"",""remark"":""fail""},{""score"":74.41836270655918,""type"":""quiz"",""remark"":""pass""},{""score"":56.64965514703727,""type"":""homework"",""remark"":""pass""}]"
181,,Merissa Mann,"[{""score"":0.7300279717432967,""type"":""exam"",""remark"":""fail""},{""score"":39.49170592908128,""type"":""quiz"",""remark"":""fail""},{""score"":60.49619334485811,""type"":""homework"",""remark"":""pass""}]"
182,Pass,Jenise Mcguffie,"[{""score"":83.68438201130127,""type"":""exam"",""remark"":""pass""},{""score"":73.79931763764928,""type"":""quiz"",""remark"":""pass""},{""score"":89.57200947426745,""type"":""homework"",""remark"":""pass""}]"
183,,Cody Strouth,"[{""score"":32.99854612126559,""type"":""exam"",""remark"":""fail""},{""score"":78.61720316992681,""type"":""quiz"",""remark"":""pass""},{""score"":89.62847560459466,""type"":""homework"",""remark"":""pass""}]"
184,Pass,Harriett Velarde,"[{""score"":41.47988283148075,""type"":""exam"",""remark"":""pass""},{""score"":95.69493673358075,""type"":""quiz"",""remark"":""pass""},{""score"":83.03916048182315,""type"":""homework"",""remark"":""pass""}]"
185,Pass,Kam Senters,"[{""score"":49.8822537074033,""type"":""exam"",""remark"":""pass""},{""score"":45.29515361387067,""type"":""quiz"",""remark"":""pass""},{""score"":68.88048980292801,""type"":""homework"",""remark"":""pass""}]"
186,,Leonida Lafond,"[{""score"":8.125073097960179,""type"":""exam"",""remark"":""fail""},{""score"":0.2017888852605676,""type"":""quiz"",""remark"":""fail""},{""score"":90.13081857264544,""type"":""homework"",""remark"":""pass""}]"
187,,Devorah Smartt,"[{""score"":23.94616611315642,""type"":""exam"",""remark"":""fail""},{""score"":13.27371116063025,""type"":""quiz"",""remark"":""fail""},{""score"":63.17281121561749,""type"":""homework"",""remark"":""pass""}]"
188,Pass,Leola Lundin,"[{""score"":60.314725741828,""type"":""exam"",""remark"":""pass""},{""score"":41.12327471818652,""type"":""quiz"",""remark"":""pass""},{""score"":74.8699176311771,""type"":""homework"",""remark"":""pass""}]"
189,,Tonia Surace,"[{""score"":67.93405589675187,""type"":""exam"",""remark"":""pass""},{""score"":31.49721116485943,""type"":""quiz"",""remark"":""fail""},{""score"":82.36495908047985,""type"":""homework"",""remark"":""pass""}]"
190,Pass,Adrien Renda,"[{""score"":64.16109192679477,""type"":""exam"",""remark"":""pass""},{""score"":66.93730600935531,""type"":""quiz"",""remark"":""pass""},{""score"":96.0560340227047,""type"":""homework"",""remark"":""pass""}]"
191,Pass,Efrain Claw,"[{""score"":94.67153825229884,""type"":""exam"",""remark"":""pass""},{""score"":82.30087932110595,""type"":""quiz"",""remark"":""pass""},{""score"":75.86075840047938,""type"":""homework"",""remark"":""pass""}]"
192,,Len Treiber,"[{""score"":39.19832917406515,""type"":""exam"",""remark"":""fail""},{""score"":98.71679252899352,""type"":""quiz"",""remark"":""pass""},{""score"":44.8228929481132,""type"":""homework"",""remark"":""pass""}]"
193,Pass,Mariela Sherer,"[{""score"":47.67196715489599,""type"":""exam"",""remark"":""pass""},{""score"":41.55743490493954,""type"":""quiz"",""remark"":""pass""},{""score"":70.4612811769744,""type"":""homework"",""remark"":""pass""}]"
194,,Echo Pippins,"[{""score"":18.09013691507853,""type"":""exam"",""remark"":""fail""},{""score"":35.00306967250408,""type"":""quiz"",""remark"":""fail""},{""score"":80.17965154316731,""type"":""homework"",""remark"":""pass""}]"
195,,Linnie Weigel,"[{""score"":52.44578368517977,""type"":""exam"",""remark"":""pass""},{""score"":90.7775054046383,""type"":""quiz"",""remark"":""pass""},{""score"":11.75008382913026,""type"":""homework"",""remark"":""fail""}]"
196,,Santiago Dollins,"[{""score"":52.04052571137036,""type"":""exam"",""remark"":""pass""},{""score"":33.63300076481705,""type"":""quiz"",""remark"":""fail""},{""score"":78.79257377604428,""type"":""homework"",""remark"":""pass""}]"
197,,Tonisha Games,"[{""score"":38.51269589995049,""type"":""exam"",""remark"":""fail""},{""score"":31.16287577231703,""type"":""quiz"",""remark"":""fail""},{""score"":79.15856355963004,""type"":""homework"",""remark"":""pass""}]"
198,,Timothy Harrod,"[{""score"":11.9075674046519,""type"":""exam"",""remark"":""fail""},{""score"":20.51879961777022,""type"":""quiz"",""remark"":""fail""},{""score"":64.85650354990375,""type"":""homework"",""remark"":""pass""}]"
199,,Rae Kohout,"[{""score"":82.11742562118049,""type"":""exam"",""remark"":""pass""},{""score"":49.61295450928224,""type"":""quiz"",""remark"":""pass""},{""score"":28.86823689842918,""type"":""homework"",""remark"":""fail""}]"
